岗位,地点,薪资,工作经验,学历,公司名称,技能,工作福利,工作类型,融资情况,公司规模
后端开发工程师,西安·蓝田县·白鹿原,7-10K,3-5年,大专,瑞特认证,['后端开发'],包住，降温取暖补助，证书补助，免费班车，包吃，节日福利，带薪年假，五险一金,检测/认证,未融资,100-499人
产品经理,西安·蓝田县·白鹿原,4-6K,1-3年,本科,瑞特认证,"['产品设计', '产品运营', '用户研究', '功能产品', 'Axure']",免费班车，节日福利，降温取暖补助，包住，五险一金，带薪年假，证书补助，包吃,检测/认证,未融资,100-499人
家具生产主管,西安·蓝田县·白鹿原,6-8K,3-5年,大专,龙凤睡眠,"['生产计划与物料控制', '生产质量管理', '生产成本管理']",,家具/家电/家居,未融资,100-499人
会计出纳,西安·蓝田县·白鹿原,3-4K,经验不限,中专/中技,星辉,"['出纳', '记账会计', '会计专员', '主管会计', '财务管理']",住房补贴，包吃,建材,不需要融资,20-99人
车间主任,西安·蓝田县·白鹿原,6-7K,1-3年,大专,龙凤,"['生产计划与物料控制', '生产成本管理', '生产质量管理']",全勤奖，带薪年假，通讯补贴，交通补助，节日福利，员工旅游,批发/零售,不需要融资,100-499人
生产厂长,西安·蓝田县·白鹿原,8-10K,3-5年,大专,龙凤,"['五险', '弹性工作制', '家具', '生产成本管理']",全勤奖，通讯补贴，节日福利，员工旅游，交通补助，带薪年假,批发/零售,不需要融资,100-499人
计算机数据员,西安·周至县·周至汽车站,2-3K,经验不限,学历不限,飞翔电子,"['五笔输入', '数字键盘熟练']",,计算机服务,未融资,20-99人
周至招聘税务会计（有社保，双休）,西安·周至县·周至县中心城区,4-9K,1年以内,大专,笨鸟邦,"['税务管理', '银行', '代理记账', '总账会计']",五险，员工旅游，周末双休，交通补助，通讯补贴,财务/审计/税务,不需要融资,1000-9999人
诚聘电话销售8K,西安·周至县·周至县中心城区,5-9K,经验不限,学历不限,笨鸟邦,"['大客户销售', '渠道销售', '销售专员', '销售主管']",周末双休，五险，交通补助，通讯补贴，员工旅游,财务/审计/税务,不需要融资,1000-9999人
PHP,西安·周至县,2-3K,1年以内,学历不限,舒馨农业开发,"['ASP', 'Web前端', '后端开发']",,电子商务,不需要融资,0-20人
数据分析师,苏州·姑苏区·南门,8-12K,1-3年,本科,苏州小棉袄信息技术,"['SQL', 'Tableau', 'Power BI', '相关分析']",五险一金，带薪年假，节日福利,电子商务,已上市,100-499人
数据分析师,苏州·姑苏区·虎丘,12-20K,1-3年,本科,道泰信息,"['Python', 'SQL', 'Spark']",零食下午茶，节日福利，带薪年假，年终奖，交通补助，五险一金，加班补助，定期体检，员工旅游,数据服务,未融资,20-99人
数据分析师,苏州·姑苏区·虎丘,10-15K,3-5年,大专,丝路互联,"['大数据', 'Python', 'Excel', 'R']",五险，带薪年假，零食下午茶，专业培训，员工旅游，节日福利,互联网,未融资,100-499人
SEO（数据优化专员）,苏州·姑苏区·石路,4-5K,经验不限,大专,太郎花子新概念婚纱,"['控评', '集赞', '顶帖']",节日福利，全勤奖，五险，员工旅游,婚庆/摄影,未融资,1000-9999人
数据工程师,苏州·姑苏区·白洋湾,4-8K,1-3年,本科,苏州中拓易测绘,['测量/测绘工程师'],年终奖，定期体检，员工旅游，补充医疗保险，五险一金,其他行业,不需要融资,0-20人
数据运营,苏州·姑苏区·南门,4-6K,1-3年,大专,苏州鲜洁,"['渠道数据分析经验', '平台类产品', '社区类产品']",带薪年假，五险一金，零食下午茶，节日福利,其他行业,天使轮,100-499人
数据开发工程师,苏州·姑苏区·万达广场,15-20K,1-3年,本科,星河数据,"['Shell', 'SQL', 'Kettle', 'Java', '存储过程', 'oracle']",,数据服务,未融资,20-99人
数据仓库工程师,苏州·姑苏区·石路,12-20K,1-3年,本科,安硕信息技术,"['SQL', 'Hadoop', 'Spark', 'HDFS', 'HIVE', 'Hbase']",年终奖，交通补助，节日福利，股票期权，带薪年假，餐补，通讯补贴，住房补贴，定期体检，五险一金,计算机软件,已上市,1000-9999人
数据开发,苏州·姑苏区·南门,9-14K,5-10年,大专,青与蓝科技,"['SQL', 'Shell', '存储过程', 'Hadoop', 'Kafka', 'QlikView']",,互联网,天使轮,0-20人
微信运营,苏州·姑苏区·留园,4-6K,经验不限,本科,升学范,"['社群运营', '图文编辑', '公众号运营']",年底分红，定期体检，员工旅游，零食下午茶，五险一金，节日福利，年终奖，带薪年假，全勤奖,互联网,未融资,0-20人
ebay amazon 运营,苏州·姑苏区·苏锦,5-10K,经验不限,大专,城英花科技,"['海外产品经验', 'BI', 'tableau', 'C端用户', 'B端用户']",带薪年假，节日福利，员工旅游，补充医疗保险,电子商务,未融资,20-99人
亚马逊意大利运营,苏州·姑苏区·苏锦,6-10K,1-3年,大专,云创时代,"['跨境电商运营', '亚马逊运营', '意大利语', '亚马逊意大利运营']",带薪年假，交通补助，员工旅游，通讯补贴，五险一金，年终奖，餐补，节日福利,电子商务,不需要融资,100-499人
社群运营/运营助理,苏州·姑苏区·西园,4-7K,经验不限,大专,一世青科技,"['社群运营', '用户运营', '用户增长', '社群活动策划']",零食下午茶，员工旅游，带薪年假，五险一金，员工生日福利，年终奖，节日福利,互联网,天使轮,20-99人
海外媒介投放,苏州·姑苏区·苏锦,8-13K,1-3年,大专,苏州虞美人,"['facebook广告投放', 'google广告投放', '海外社交媒体']",双休，节日福利，社会保险，年终奖，全勤奖，带薪年假,电子商务,不需要融资,20-99人
运力运营,苏州·姑苏区·十全街,15-25K,3-5年,本科,美团,"['用户增长', '供给侧运营', '补贴策略']",带薪年假，六险一金，节日福利，交通补助,互联网,已上市,10000人以上
销售专员,苏州·姑苏区·苏锦,7-10K,经验不限,大专,一平米,"['面销/陌拜', '网络销售', '个人（To C）', '房地产', '有激情']",住房补贴，交通补助，零食下午茶，餐补，包吃，全勤奖，股票期权，年终奖，带薪年假，通讯补贴，五险一金，节日福利，员工旅游,互联网,未融资,100-499人
新媒体运营,苏州·姑苏区·苏锦,5-10K,1年以内,大专,禹治文化传媒,"['新媒体运营', '视频', '小视频', '二次创作能力', '混剪']",节日福利，员工旅游，五险一金，零食下午茶，全勤奖,文化/体育/娱乐,未融资,20-99人
商务经理,苏州·姑苏区·盘门,10-15K,1-3年,高中,中睿优品,"['销售支持', '商务谈判', '商务渠道', '面销', '陌拜']",五险一金,建材,未融资,20-99人
数据架构师,苏州·姑苏区·南门,25-50K,5-10年,本科,苏州小棉袄信息技术,['Java'],带薪年假，节日福利，五险一金,电子商务,已上市,100-499人
数据/ETL/BI/数据仓库工程师,苏州·姑苏区·万达广场,12-15K,经验不限,大专,星河数据,"['Shell', 'SQL', 'Kettle', 'Java', 'oracle', '存储过程']",,数据服务,未融资,20-99人
数据采集员,苏州·姑苏区·娄门,4-9K,经验不限,中专/中技,创文科技服务,"['市场研究', '市场信息收集', '全职']",交通补助，带薪年假，员工旅游，通讯补贴，五险一金，加班补助，定期体检，年终奖，全勤奖，节日福利,其他专业服务,未融资,20-99人
竞价,苏州·姑苏区·桃花坞,8-12K,3-5年,学历不限,英博口腔,"['线上推广', 'SEM', '数据运营']",餐补，五险一金，全勤奖，节日福利，带薪年假，加班补助,医疗/护理/卫生,不需要融资,20-99人
流体高级工程师/工程师,苏州·姑苏区·虎丘,15-25K,3-5年,本科,顺造,"['CAD', 'SolidWorks', 'Fluent', '流体']",五险一金，带薪年假，股票期权，年终奖，节日福利，免费班车,生活服务,B轮,100-499人
Google广告投放,苏州·姑苏区·苏锦,8-13K,1-3年,大专,苏州虞美人,"['谷歌投放', 'google广告投放', 'B2C', 'ROI']",年终奖，全勤奖，社会保险，带薪年假，双休，节日福利,电子商务,不需要融资,20-99人
运营经理,苏州·姑苏区·观前街地区,6-11K,1-3年,本科,苏州康美美容医院,"['企业运营', '产品运营', '销售运营', '运营战略规划']",定期体检，补充医疗保险，零食下午茶，员工旅游，住房补贴，包吃，五险一金，节日福利,医疗/护理/卫生,不需要融资,100-499人
新媒体运营经理,苏州·姑苏区·拙政园,8-9K,3-5年,大专,新视群科技集团,"['活动运营', '内容运营', '运营部门管理', '社交平台']",五险一金，员工旅游，带薪年假,企业服务,A轮,20-99人
销售代表,苏州·姑苏区·石路,6-10K,经验不限,本科,苏州中亿宏信,"['市场开发', '销售支持', '面销']",带薪年假，交通补助，补充医疗保险，五险一金，零食下午茶，餐补，年终奖，通讯补贴,企业服务,未融资,20-99人
Google /Facebook广告投放专员,苏州·姑苏区·三香路沿线,5-10K,1-3年,本科,苏州征鸟,"['广告投放', 'Facebook', 'Google', '海外市场', '跨境电商']",五险一金，餐补，节日福利，员工旅游，加班补助，年终奖，住房补贴，带薪年假,电子商务,未融资,100-499人
电话客服,苏州·姑苏区·彩香,5-10K,经验不限,中专/中技,金财教育,"['外呼客服', '外呼售前客服', '客服专员', '全职']",年终奖，通讯补贴，节日福利，购车购房基金，带薪年假，员工旅游，季度年度旅游,在线教育,未融资,1000-9999人
产品总监,苏州·姑苏区·南门,11-20K,1-3年,本科,不见不散,"['产品运营', '用户增长', '市场运营管理', '社交APP']",全勤奖，零食下午茶，五险一金,生活服务,不需要融资,1000-9999人
招商银行零售客户经理,苏州·姑苏区·石路,8-13K,经验不限,大专,招商银行信用卡中心,"['年终奖', '可转行编', '双休', '银行', '公积金', '五险一金']",员工旅游，带薪年假，餐补，五险一金，定期体检，节日福利，年终奖，交通补助，补充医疗保险,互联网金融,已上市,10000人以上
城市经理【o2o同城货运行业】,苏州·姑苏区·石路,20-25K,3-5年,本科,快狗打车,"['管理能力', '区域经理', '统筹能力', '华东区', '同城物流']",补充医疗保险，年终奖，五险一金,O2,B轮,500-999人
产品开发专员,苏州·姑苏区·西园,6-10K,1-3年,学历不限,苏州花无缺技术服务,"['数据产品', '市场调研', '数据分析']",季度晋升，节日福利，通讯补贴，零食下午茶，住房补贴，月/季度奖金，员工旅游，定期体检，年终奖，五险一金，补充医疗保险，交通补助，餐补，全勤奖，带薪年假,电子商务,不需要融资,100-499人
产品助理,苏州·姑苏区·虎丘,4-6K,经验不限,大专,丝路互联,"['市场调研', '数据分析', '数据产品', '电商产品']",节日福利，专业培训，员工旅游，带薪年假，零食下午茶，五险,互联网,未融资,100-499人
数据采集员,苏州·姑苏区·东环路,4-8K,经验不限,中专/中技,创文科技服务,"['数据采集', '调查咨询']",带薪年假，节日福利，交通补助，通讯补贴，五险一金，加班补助，定期体检，全勤奖，员工旅游，年终奖,其他专业服务,未融资,20-99人
竞价专员、信息流推广,苏州·姑苏区·苏锦,7-12K,1年以内,高中,英博口腔,"['信息流投放经验', '新媒体', 'sem', '信息流推广']",餐补，全勤奖，五险一金，节日福利，加班补助，带薪年假,医疗/护理/卫生,不需要融资,20-99人
资深天猫运营专员,苏州·姑苏区·南门,10-15K,1-3年,大专,苏州小棉袄信息技术,"['网店店长经验', '淘宝', '天猫', '京东', '拼多多', '万相台']",节日福利，五险一金，带薪年假,电子商务,已上市,100-499人
金融产品经理,苏州·姑苏区·石路,13-26K,经验不限,大专,招商银行信用卡中心,"['年终奖', '绩效奖金', '全勤奖', '双休', '互联网金融']",补充医疗保险，交通补助，员工旅游，定期体检，年终奖，五险一金，带薪年假，餐补，节日福利,互联网金融,已上市,10000人以上
销售总监,苏州·姑苏区·彩香,10-15K,1-3年,中专/中技,金财教育,"['团队建设能力', '大客户销售']",节日福利，通讯补贴，季度年度旅游，购车购房基金，带薪年假，年终奖，员工旅游,在线教育,未融资,1000-9999人
shopify运营专员,苏州·姑苏区·桃花坞,8-13K,1-3年,大专,海亿通贸易,"['Shopee', 'eBay', 'Amazon', '跨境店铺运营', '速卖通']",员工旅游，年终奖，全勤奖，带薪年假，节日福利，零食下午茶,电子商务,未融资,20-99人
跨境电商运营经理/主管,苏州·姑苏区·狮山,15-30K,5-10年,本科,如果新能源,"['跨境电商运营', '品类运营']",内部其他福利，加班补助，年终奖，全勤奖，企业大学，员工旅游，五险一金，带薪年假，住房补贴，员工培训，企业氛围好，节日福利，零食下午茶,新能源,C轮,500-999人
流体工程师,苏州·姑苏区·虎丘,15-25K,3-5年,本科,顺造,"['流体', '仿真', '机构设计']",带薪年假，股票期权，五险一金，年终奖，免费班车，节日福利,生活服务,B轮,100-499人
电商产品开发,苏州·姑苏区·西园,7-12K,1-3年,大专,苏州花无缺技术服务,"['市场调研', '产品规划', '需求分析', '产品设计', '数据分析']",定期体检，补充医疗保险，月/季度奖金，交通补助，员工旅游，年终奖，通讯补贴，节日福利，住房补贴，餐补，带薪年假，五险一金，全勤奖，季度晋升，零食下午茶,电子商务,不需要融资,100-499人
产品开发专员（亚马逊）,苏州·姑苏区·桃花坞,5-10K,经验不限,学历不限,丝路互联,"['数据分析', '电子商务', '产品助理']",零食下午茶，带薪年假，员工旅游，专业培训，节日福利，五险,互联网,未融资,100-499人
天猫运营,苏州·姑苏区·南门,6-11K,1-3年,大专,苏州小棉袄信息技术,"['运营专员', '网店店长', '店铺推广', '电商运营', '天猫/淘宝']",五险一金，带薪年假，节日福利,电子商务,已上市,100-499人
BD经理,苏州·姑苏区·盘门,12-18K,经验不限,大专,招商银行信用卡中心,"['BD经理', '线下推广', '面销', '老客户维护', '银行']",补充医疗保险，节日福利，带薪年假，员工旅游，交通补助，餐补，年终奖，定期体检，五险一金,互联网金融,已上市,10000人以上
独立站运营,苏州·姑苏区·西园,6-10K,1-3年,大专,苏州花无缺技术服务,"['跨境电商运营', '社交平台', '运营专员', '数据分析', '英语']",补充医疗保险，定期体检，五险一金，住房补贴，节日福利，带薪年假，全勤奖，员工旅游，季度晋升，通讯补贴，餐补，月/季度奖金，交通补助，年终奖，零食下午茶,电子商务,不需要融资,100-499人
产品开发,苏州·姑苏区·虎丘,5-10K,1-3年,大专,丝路互联,"['市场调研', '英语', '跨境电商', '需求分析', '数据分析']",零食下午茶，节日福利，五险，专业培训，带薪年假，员工旅游,互联网,未融资,100-499人
商户拓展经理,苏州·姑苏区·盘门,8-13K,经验不限,大专,招商银行信用卡中心,"['金融', '线下零售', '市场策划经验', '团队管理经验']",餐补，带薪年假，补充医疗保险，节日福利，交通补助，年终奖，定期体检，五险一金，员工旅游,互联网金融,已上市,10000人以上
跨境电商产品开发,苏州·姑苏区·西园,7-12K,1-3年,学历不限,苏州花无缺技术服务,"['市场调研', '商业产品', '用户研究', 'TO C', '数据分析']",员工旅游，节日福利，全勤奖，零食下午茶，月/季度奖金，五险一金，季度晋升，补充医疗保险，餐补，交通补助，住房补贴，定期体检，年终奖，带薪年假，通讯补贴,电子商务,不需要融资,100-499人
信用卡销售专员,苏州·姑苏区·石路,8-13K,经验不限,大专,招商银行信用卡中心,"['互联网金融', '金融产品', '个人（To C）', '年终奖']",定期体检，餐补，节日福利，员工旅游，带薪年假，五险一金，年终奖，交通补助，补充医疗保险,互联网金融,已上市,10000人以上
亚马逊运营总监,苏州·姑苏区·桃花坞,25-35K,3-5年,本科,丝路互联,"['B2C跨境电商', '网店店长', '跨境电商运营', '亚马逊运营']",员工旅游，带薪年假，专业培训，五险，节日福利，零食下午茶,互联网,未融资,100-499人
计划员（对接运营数据@供应链）,苏州·姑苏区·西园,5-10K,经验不限,学历不限,苏州花无缺技术服务,"['电商', '渠道数据分析经验', '电商类产品', '跨境电商']",住房补贴，季度晋升，员工旅游，餐补，通讯补贴，补充医疗保险，带薪年假，交通补助，零食下午茶，全勤奖，五险一金，节日福利，年终奖，定期体检，月/季度奖金,电子商务,不需要融资,100-499人
销售顾问,苏州·姑苏区·盘门,10-15K,经验不限,大专,招商银行信用卡中心,"['金融产品', '互联网金融', '个人（To C）', '面销/陌拜']",节日福利，交通补助，定期体检，餐补，补充医疗保险，员工旅游，五险一金，年终奖，带薪年假,互联网金融,已上市,10000人以上
亚马逊专员（美国站）,苏州·姑苏区·桃花坞,6-8K,1年以内,大专,丝路互联,"['店铺运营', '跨境电商运营', '站外推广']",五险，节日福利，员工旅游，零食下午茶，带薪年假，专业培训,互联网,未融资,100-499人
产品开发工程师,苏州·姑苏区·枫桥地区,8-13K,1-3年,大专,苏州花无缺技术服务,"['英语', '市场调研', '数据分析', '需求分析', '用户研究']",全勤奖，季度晋升，带薪年假，定期体检，年终奖，零食下午茶，员工旅游，月/季度奖金，补充医疗保险，五险一金，住房补贴，通讯补贴，节日福利，交通补助，餐补,电子商务,不需要融资,100-499人
亚马逊运营,苏州·姑苏区·虎丘,4-8K,1年以内,大专,丝路互联,"['Amazon', '跨境电商运营', '外贸', '电商', '亚马逊']",五险，带薪年假，零食下午茶，员工旅游，节日福利，专业培训,互联网,未融资,100-499人
产品开发（专员，主管，经理）,苏州·姑苏区·枫桥地区,8-13K,1-3年,大专,苏州花无缺技术服务,"['市场调研', '数据分析', '产品规划', '亚马逊', '跨境电商']",定期体检，月/季度奖金，补充医疗保险，住房补贴，全勤奖，员工旅游，通讯补贴，零食下午茶，餐补，年终奖，带薪年假，节日福利，五险一金，季度晋升，交通补助,电子商务,不需要融资,100-499人
运营储备,苏州·姑苏区·虎丘,4-9K,1年以内,本科,丝路互联,['电商平台运营'],带薪年假，零食下午茶，五险，专业培训，员工旅游，节日福利,互联网,未融资,100-499人
亚马逊运营主管（高级运营）,苏州·姑苏区·西园,10-15K,3-5年,本科,苏州花无缺技术服务,"['Amazon', '跨境店铺运营', '跨境电商', '亚马逊', '团队管理']",交通补助，定期体检，年终奖，住房补贴，月/季度奖金，餐补，五险一金，补充医疗保险，全勤奖，通讯补贴，零食下午茶，节日福利，带薪年假，季度晋升，员工旅游,电子商务,不需要融资,100-499人
市场买手,苏州·姑苏区·虎丘,10-15K,1-3年,大专,丝路互联,"['品牌方', '居家日用', '母婴玩具']",节日福利，专业培训，带薪年假，五险，零食下午茶，员工旅游,互联网,未融资,100-499人
高级绩效经理,苏州·姑苏区·西环路沿线,10-14K,5-10年,本科,苏州花无缺技术服务,"['绩效考核实施', '人力资源成本管控', '绩效辅导']",带薪年假，通讯补贴，节日福利，全勤奖，餐补，五险一金，定期体检，住房补贴，补充医疗保险，零食下午茶，月/季度奖金，交通补助，员工旅游，季度晋升，年终奖,电子商务,不需要融资,100-499人
独立站高级广告投放专家,苏州·姑苏区·虎丘,15-20K,3-5年,大专,丝路互联,"['海外社交媒体投放', '流量运营']",专业培训，员工旅游，带薪年假，五险，节日福利，零食下午茶,互联网,未融资,100-499人
产品开发（跨境电商）,苏州·姑苏区·西园,8-13K,1-3年,大专,苏州花无缺技术服务,"['电商产品', '日语']",定期体检，节日福利，月/季度奖金，零食下午茶，五险一金，季度晋升，带薪年假，餐补，年终奖，通讯补贴，全勤奖，交通补助，住房补贴，员工旅游，补充医疗保险,电子商务,不需要融资,100-499人
独立站广告投放总监,苏州·姑苏区·虎丘,15-20K,5-10年,本科,丝路互联,"['北美', '欧洲', '网站', '海外社交媒体投放', '流量运营']",员工旅游，五险，零食下午茶，节日福利，专业培训，带薪年假,互联网,未融资,100-499人
婚纱礼服产品开发,苏州·姑苏区·西园,8-13K,经验不限,大专,苏州花无缺技术服务,"['市场调研', '内容产品', '商业产品', '产品设计', '产品规划']",季度晋升，零食下午茶，交通补助，月/季度奖金，员工旅游，全勤奖，五险一金，节日福利，补充医疗保险，年终奖，定期体检，住房补贴，带薪年假，餐补，通讯补贴,电子商务,不需要融资,100-499人
SEM,苏州·姑苏区·虎丘,10-15K,1-3年,大专,丝路互联,['网络媒体'],零食下午茶，带薪年假，五险，专业培训，员工旅游，节日福利,互联网,未融资,100-499人
亚马逊运营（Amazon ）,苏州·姑苏区·西园,6-11K,经验不限,大专,苏州花无缺技术服务,"['Amazon', '跨境店铺运营', '亚马逊']",月/季度奖金，零食下午茶，带薪年假，季度晋升，全勤奖，通讯补贴，定期体检，交通补助，五险一金，餐补，补充医疗保险，节日福利，员工旅游，住房补贴，年终奖,电子商务,不需要融资,100-499人
欧美童装买手,苏州·姑苏区·虎丘,10-15K,1-3年,大专,丝路互联,"['服饰/鞋帽/箱包', '居家日用', '母婴玩具']",员工旅游，节日福利，专业培训，零食下午茶，带薪年假，五险,互联网,未融资,100-499人
HRBP,苏州·姑苏区·西园,10-15K,3-5年,本科,苏州花无缺技术服务,"['团队搭建经验', '管理经验', '公司人力资源部门', 'HRBP']",年终奖，五险一金，住房补贴，节日福利，员工旅游，带薪年假，通讯补贴，季度晋升，定期体检，补充医疗保险，餐补，交通补助，全勤奖，月/季度奖金，零食下午茶,电子商务,不需要融资,100-499人
独立站投放专员,苏州·姑苏区·虎丘,7-12K,1-3年,大专,丝路互联,"['媒介专员', '网络媒体', '网盟渠道', 'KOL']",零食下午茶，节日福利，带薪年假，五险，员工旅游，专业培训,互联网,未融资,100-499人
广告优化师,苏州·姑苏区·虎丘,10-15K,1-3年,大专,丝路互联,['网络媒体'],五险，员工旅游，零食下午茶，专业培训，带薪年假，节日福利,互联网,未融资,100-499人
数据分析工程师,苏州·吴江区·同里,15-20K,3-5年,本科,博众精工,"['Python', 'SQL', 'R', 'Excel', '聚类分析', '多元统计分析']",五险一金，通讯补贴，补充医疗保险，带薪年假，节日福利，交通补助，餐补，股票期权，全勤奖，加班补助，定期体检，免费班车，员工旅游，包住，包吃，年终奖,仪器仪表/工业自动化,已上市,1000-9999人
部门助理（数据分析方向）,苏州·吴江区·盛泽,4-6K,1-3年,本科,恒力油化,"['Excel', '业务数据统计、分析']",餐补，五险一金，节日福利，免费住宿，通讯补贴，年终奖，高温补贴,贸易/进出口,已上市,500-999人
化学分析员,苏州·吴江区·盛泽,4-6K,经验不限,大专,盛虹集团,['月休六天'],,化工,未融资,10000人以上
织物分析,苏州·吴江区·盛泽,7-10K,1-3年,大专,纤丝纺,"['面料', '密度 工艺书', '服装纺织']",包吃，餐补，五险一金，员工旅游，交通补助，节日福利，加班补助，通讯补贴，补充医疗保险,服装/纺织/皮革,未融资,100-499人
数据运营,苏州·吴江区·盛泽,4-6K,经验不限,大专,江苏京迅递供应链...,['运营专员'],年终奖，节日福利，五险一金，住房补贴，加班补助，包吃，补充医疗保险，全勤奖，通讯补贴，定期体检，餐补，带薪年假，员工旅游,物流/仓储,已上市,10000人以上
工程主管,苏州·吴江区·太湖新城（吴江）,11-12K,1-3年,大专,万科物业,"['商业地产', '工程管理']",包吃，节日福利，加班补助，带薪年假，员工旅游，定期体检，五险一金，交通补助，年终奖,物业服务,已上市,10000人以上
淘宝客服,苏州·吴江区·松陵,5-8K,经验不限,高中,吴江经济技术开发...,"['售后客服', '电商客服', '售前客服']",零食下午茶，股票期权，餐补，全勤奖，通讯补贴，年终奖，员工旅游，节日福利,互联网,不需要融资,0-20人
外延工程师,苏州·吴江区·汾湖,12-18K,经验不限,硕士,印捷,"['CVD', '碳化硅', '外延片']",带薪年假，节日福利，员工旅游，五险一金,机械设备/机电/重工,C轮,20-99人
英语外贸业务员,苏州·吴江区·盛泽,6-11K,经验不限,本科,原子蚂蚁,"['五险', '餐补', '房补', '交通补助', '加班费', '年终奖']",节日福利，员工旅游，交通补助，免费班车，住房补贴，年终奖，股票期权，通讯补贴，加班补助，带薪年假，全勤奖，餐补，包吃,贸易/进出口,不需要融资,0-20人
客户经理,苏州·吴江区·太湖新城（吴江）,10-15K,经验不限,大专,平安普惠,['六险两金'],六险二金，带薪年假，定期体检，零食下午茶，员工旅游，节日福利，五险一金，补充医疗保险，全勤奖，年终奖，股票期权,投资/融资,已上市,10000人以上
电子PE工程师,苏州·吴江区·汾湖,9-12K,5-10年,学历不限,欧普照明,['工艺工程师'],五险一金，定期体检，股票期权，带薪年假，员工旅游，通讯补贴，年终奖，免费班车，节日福利,O2,已上市,1000-9999人
算法工程师,苏州·吴江区·松陵,13-25K,1-3年,本科,深圳乐居,['运动控制算法'],年终奖，五险一金，股票期权，节日福利，员工旅游，带薪年假，零食下午茶,家具/家电/家居,天使轮,100-499人
研发工程师,苏州·吴江区·松陵,10-15K,经验不限,本科,苏州世华,"['材料研发', '化工工程师', '化学分析']",,化工,未融资,100-499人
商业工程主管,苏州·吴江区·太湖新城（吴江）,9-10K,3-5年,大专,万科物业,['商业地产'],包吃，加班补助，员工旅游，节日福利，定期体检，带薪年假，年终奖，五险一金，交通补助,物业服务,已上市,10000人以上
MNT电子工程师,苏州·吴江区·松陵,15-20K,5-10年,本科,BOE,"['显示电路', '板卡']",包吃，全勤奖，餐补，节日福利，加班补助，带薪年假，五险一金，年终奖,计算机软件,已上市,10000人以上
CRA,苏州·吴江区·吴江,5-8K,1-3年,本科,苏州康和顺,"['临床实验协调', '临床数据整理', '临床质量管理']",餐补，带薪年假，节日福利，年终奖，五险一金，定期体检，员工旅游,医疗设备/器械,未融资,20-99人
视觉算法工程师,苏州·吴江区·太湖新城（吴江）,18-28K,3-5年,本科,江苏创源智能,"['C++', 'C#', '算法设计', '视觉图像算法', 'OpenCV']",节日福利，年终奖，包吃包住，五险一金，带薪年假，绩效奖金，员工旅游，全勤奖,仪器仪表/工业自动化,未融资,1000-9999人
商品专员,苏州·吴江区·太湖新城（吴江）,4-6K,1-3年,大专,新锐贸易有限公司,"['大数据', '渠道数据分析经验', '电商类产品']",五险一金，带薪年假，生活福利，节日福利，年终奖，全勤奖，餐补,电子商务,未融资,100-499人
工艺工程师（苏州）,苏州·吴江区·松陵,7-9K,3-5年,本科,微康生物,"['食品饮料研发', '工艺优化', '固体饮料保健品']",加班补助，节日福利，包吃，交通补助，五险一金，带薪年假，餐补，员工旅游，全勤奖，年终奖，住房补贴，补充医疗保险,食品/饮料/烟酒,未融资,500-999人
采购经理/高级工程师（电子资源）,苏州·吴江区·汾湖,18-20K,3-5年,学历不限,欧普照明,"['采购', '电子采购', '电子料', '芯片', '电容电阻', '半导体']",通讯补贴，定期体检，员工旅游，股票期权，年终奖，带薪年假，免费班车，节日福利，五险一金,O2,已上市,1000-9999人
业务助理工程师,苏州·吴江区·汾湖,6-8K,在校/应届,本科,博古特,"['渠道销售', '大客户销售', '机械销售']",免费班车，年终奖，员工旅游，包吃，带薪年假，五险一金，加班补助，全勤奖，通讯补贴,仪器仪表/工业自动化,不需要融资,1000-9999人
苏州 软件开发工程师,苏州·吴江区·盛泽,5-10K,经验不限,本科,杭州雁行,"['MySQL', 'SVN', 'MVC开发', 'HTML5', 'Web端']",员工旅游，年终奖，包吃，零食下午茶，住房补贴，餐补，五险一金，节日福利，带薪年假，股票期权，全勤奖，加班补助,计算机软件,未融资,20-99人
路径规划算法工程师,苏州·吴江区·松陵,15-30K,1-3年,本科,博众精工,"['C++', '算法设计', '运动控制算法', 'A*', 'DWA']",定期体检，员工旅游，餐补，加班补助，全勤奖，包住，年终奖，节日福利，通讯补贴，股票期权，免费班车，补充医疗保险，五险一金，包吃，交通补助，带薪年假,仪器仪表/工业自动化,已上市,1000-9999人
数据分析师,苏州·常熟市·常熟,5-6K,1-3年,大专,常熟交家电,"['数据分析', '商业数据分析', '数据库开发']",员工旅游，年终奖，定期体检，五险一金,批发/零售,不需要融资,100-499人
数据分析师,苏州·常熟市·碧溪镇,10-15K,3-5年,本科,贝塔科技,"['SQL', 'Python', '数据分析', '数据统计', '销售数据']",五险一金，股票期权，加班不孤单，与大拿共事，零食下午茶,互联网,A轮,100-499人
女装品牌数据分析师,苏州·常熟市·招商城,6-9K,1-3年,高中,可赛尔服饰,"['数据架构', '数据分析', '数据库']",员工旅游，节日福利，五险一金，全勤奖，加班补助,服装/纺织/皮革,未融资,20-99人
数据分析师,苏州·常熟市·常熟,5-10K,在校/应届,本科,阿仕顿男装,"['需求分析', '数据挖掘', '数据采集']",住房补贴，交通补助，通讯补贴，五险一金，餐补，节日福利，包吃，定期体检,企业服务,未融资,1000-9999人
数据分析师,苏州·常熟市·东南开发区,5-10K,经验不限,本科,瀚中睿方数据科技,['Excel'],员工旅游，节日福利，餐补，带薪年假，定期体检，五险一金，年终奖,计算机软件,天使轮,20-99人
